Designator,Val,Package,Mid X,Mid Y,Rotation,layer
"C1","1u","C_0201_0603Metric",328.930000,-121.158000,270.000000,top
"C2","0.01uF","C_0201_0603Metric",335.534000,-114.046000,180.000000,top
"C3","0.01uF","C_0201_0603Metric",335.625000,-120.650000,180.000000,top
"D1","LED - blue FV 2.5V","LED_0603_1608Metric",354.558500,-116.840000,180.000000,top
"D2","LED - red FV 2V","LED_0603_1608Metric",354.584000,-119.634000,180.000000,top
"R1","1K","R_0201_0603Metric",325.120000,-113.604000,270.000000,top
"R2","1K","R_0201_0603Metric",332.994000,-123.632000,270.000000,top
"R3","1K","R_0201_0603Metric",328.930000,-119.126000,270.000000,top
"R4","1K","R_0201_0603Metric",352.044000,-118.364000,90.000000,top
"R5","120","R_0201_0603Metric",357.124000,-116.840000,0.000000,top
"R6","150","R_0201_0603Metric",357.124000,-119.634000,0.000000,top
"U1","NE555DR","SOIC127P600X175-8N",335.534000,-117.348000,0.000000,top
"U2","SN74HC00DR","SOIC127P600X175-14N",348.488000,-123.000000,0.000000,top
